t	C_l	C_h	N_l	N_h	E_l	E_h	A_LL	A_HL	A_HH	A_L	A_H	A
0.060000042432000716	78.7616	55.96	0.2349	0.3747	0	0	0	0	0	0	0	0
0.06099997904919962	79.2661	55.4554	0.240859	0.378901	0	0	0	0	0	0	0	0
0.062000048266400834	79.7612	54.9604	0.246855	0.383064	0	0	0	0	0	0	0	0
0.06299998488359974	80.247	54.4746	0.252889	0.387191	0	0	0	0	0	0	0	0
0.06400005410080092	80.7238	53.9978	0.258959	0.391281	0	0	0	0	0	0	0	0
0.06499999071799983	81.1919	53.5297	0.265064	0.395336	0	0	0	0	0	0	0	0
0.06600005993520103	81.6515	53.07	0.271205	0.399355	0	0	0	0	0	0	0	0
0.06699999655239994	82.1029	52.6186	0.27738	0.40334	0	0	0	0	0	0	0	0
0.06800006576960112	82.5463	52.1753	0.283588	0.407292	0	0	0	0	0	0	0	0
0.06900000238680003	82.9819	51.7397	0.28983	0.41121	0	0	0	0	0	0	0	0
0.06999993900399895	83.4099	51.3117	0.296104	0.415096	0	0	0	0	0	0	0	0
0.07100000822120013	83.8305	50.8911	0.30241	0.41895	0	0	0	0	0	0	0	0
0.07199994483839904	84.2439	50.4776	0.308748	0.422772	0	0	0	0	0	0	0	0
0.07300001405560023	84.6504	50.0712	0.315117	0.426563	0	0	0	0	0	0	0	0
0.07399995067279916	85.05	49.6715	0.321516	0.430324	0	0	0	0	0	0	0	0
0.07500001989000032	85.443	49.2785	0.327944	0.434055	0	0	0	0	0	0	0	0
0.07599995650719925	85.8295	48.892	0.334403	0.437757	0	0	0	0	0	0	0	0
0.07700002572440043	86.2098	48.5118	0.34089	0.44143	0	0	0	0	0	0	0	0
0.07799996234159934	86.5838	48.1377	0.347406	0.445074	0	0	0	0	0	0	0	0
0.07900003155880053	86.9519	47.7696	0.353949	0.448691	0	0	0	0	0	0	0	0
0.07999996817599944	87.3142	47.4074	0.36052	0.452279	0	0	0	0	0	0	0	0
0.08100003739320062	87.6707	47.0509	0.367119	0.455841	0	0	0	0	0	0	0	0
0.08199997401039956	88.0217	46.6999	0.373743	0.459376	0	0	0	0	0	0	0	0
0.08300004322760073	88.3672	46.3544	0.380395	0.462885	0	0	0	0	0	0	0	0
0.08399997984479964	88.7074	46.0141	0.387072	0.466368	0	0	0	0	0	0	0	0
0.08500004906200083	89.0425	45.6791	0.393774	0.469825	0	0	0	0	0	0	0	0
0.08599998567919974	89.3725	45.3491	0.400502	0.473258	0	0	0	0	0	0	0	0
0.08700005489640093	89.6975	45.024	0.407254	0.476666	0	0	0	0	0	0	0	0
0.08799999151359984	90.0178	44.7038	0.414031	0.480049	0	0	0	0	0	0	0	0
0.08900006073080104	90.3333	44.3883	0.420831	0.483408	0	0	0	0	0	0	0	0
0.08999999734799996	90.6442	44.0774	0.427656	0.486744	0	0	0	0	0	0	0	0
0.09100006656520113	90.9506	43.771	0.434503	0.490057	0	0	0	0	0	0	0	0
0.09200000318240002	91.2526	43.469	0.441374	0.493346	0	0	0	0	0	0	0	0
0.09299993979959895	91.5502	43.1713	0.448267	0.496613	0	0	0	0	0	0	0	0
0.09400000901680014	91.8437	42.8779	0.455182	0.499858	0	0	0	0	0	0	0	0
0.09499994563399906	92.133	42.5885	0.462119	0.503081	0	0	0	0	0	0	0	0
0.09600001485120024	92.4183	42.3032	0.469078	0.506282	0	0	0	0	0	0	0	0
0.09699995146839915	92.6997	42.0219	0.476059	0.509461	0	0	0	0	0	0	0	0
0.09800002068560036	92.9772	41.7444	0.48306	0.51262	0	0	0	0	0	0	0	0
0.09899995730279927	93.2509	41.4707	0.490082	0.515758	0	0	0	0	0	0	0	0
0.10000002652000042	93.5209	41.2007	0.497125	0.518875	0	0	0	0	0	0	0	0
0.10099996313719935	93.7873	40.9343	0.504188	0.521972	0	0	0	0	0	0	0	0
0.10200003235440054	94.0501	40.6715	0.511271	0.525049	0	0	0	0	0	0	0	0
0.10299996897159945	94.3094	40.4121	0.518373	0.528106	0	0	0	0	0	0	0	0
0.10400003818880064	94.5653	40.1562	0.525495	0.531144	0	0	0	0	0	0	0	0
0.10499997480599955	94.8179	39.9036	0.532636	0.534163	0	0	0	0	0	0	0	0
0.10600004402320075	95.0672	39.6543	0.539796	0.537163	0	0	0	0	0	0	0	0
0.10699998064039963	95.3133	39.4082	0.546975	0.540144	0	0	0	0	0	0	0	0
0.10800004985760087	95.5563	39.1653	0.554172	0.543107	0	0	0	0	0	0	0	0
0.10899998647479975	95.7961	38.9254	0.561388	0.546052	0	0	0	0	0	0	0	0
0.11000005569200094	96.033	38.6886	0.568621	0.548978	0	0	0	0	0	0	0	0
0.11099999230919985	96.2669	38.4547	0.575872	0.551887	0	0	0	0	0	0	0	0
0.11200006152640102	96.4978	38.2237	0.583141	0.554779	0	0	0	0	0	0	0	0
0.11299999814359997	96.7259	37.9956	0.590427	0.557653	0	0	0	0	0	0	0	0
0.11400006736080115	96.9513	37.7703	0.59773	0.56051	0	0	0	0	0	0	0	0
0.11500000397800007	97.1738	37.5477	0.60505	0.56335	0	0	0	0	0	0	0	0
0.11599994059519896	97.3937	37.3279	0.612387	0.566173	0	0	0	0	0	0	0	0
0.11700000981240014	97.6109	37.1107	0.61974	0.56898	0	0	0	0	0	0	0	0
0.11799994642959907	97.8255	36.896	0.627109	0.57177	0	0	0	0	0	0	0	0
0.11900001564680025	98.0376	36.684	0.634495	0.574545	0	0	0	0	0	0	0	0
0.11999995226399919	98.2472	36.4744	0.641896	0.577303	0	0	0	0	0	0	0	0
0.12100002148120037	98.4543	36.2673	0.649313	0.580046	0	0	0	0	0	0	0	0
0.12199995809839927	98.659	36.0626	0.656746	0.582774	0	0	0	0	0	0	0	0
0.12300002731560047	98.8613	35.8603	0.664194	0.585486	0	0	0	0	0	0	0	0
0.12399996393279936	99.0613	35.6603	0.671657	0.588183	0	0	0	0	0	0	0	0
0.12500003315000058	99.259	35.4626	0.679135	0.590864	0	0	0	0	0	0	0	0
0.1259999697671995	99.4544	35.2671	0.686628	0.593531	0	0	0	0	0	0	0	0
0.12700003898440063	99.6477	35.0739	0.694136	0.596184	0	0	0	0	0	0	0	0
0.12799997560159954	99.8387	34.8828	0.701658	0.598822	0	0	0	0	0	0	0	0
0.12900004481880076	100.028	34.6939	0.709194	0.601445	0	0	0	0	0	0	0	0
0.12999998143599967	100.215	34.507	0.716745	0.604055	0	0	0	0	0	0	0	0
0.13100005065320086	100.399	34.3223	0.72431	0.60665	0	0	0	0	0	0	0	0
0.13199998727039977	100.582	34.1395	0.731888	0.609231	0	0	0	0	0	0	0	0
0.13300045428760782	100.763	33.9588	0.73948	0.611799	0	0	0	0	0	0	0	0
0.13400025830480444	100.942	33.78	0.747086	0.614353	0	0	0	0	0	0	0	0
0.13500006232200107	101.118	33.6031	0.754705	0.616894	0	0	0	0	0	0	0	0
0.1359998663391977	101.293	33.4281	0.762338	0.619422	0	0	0	0	0	0	0	0
0.13699967035639435	101.467	33.255	0.769983	0.621936	0	0	0	0	0	0	0	0
0.13799947437359095	101.638	33.0837	0.777642	0.624438	0	0	0	0	0	0	0	0
0.1390006043908104	101.807	32.9143	0.785313	0.626926	0	0	0	0	0	0	0	0
0.14000040840800704	101.975	32.7466	0.792997	0.629402	0	0	0	0	0	0	0	0
0.14100021242520366	102.141	32.5807	0.800694	0.631865	0	0	0	0	0	0	0	0
0.14200001644240026	102.305	32.4164	0.808403	0.634316	0	0	0	0	0	0	0	0
0.1429998204595969	102.468	32.2539	0.816125	0.636755	0	0	0	0	0	0	0	0
0.14399962447679351	102.629	32.093	0.823858	0.639181	0	0	0	0	0	0	0	0
0.14499942849399014	102.788	31.9338	0.831604	0.641596	0	0	0	0	0	0	0	0
0.1460005585112096	102.945	31.7762	0.839362	0.643998	0	0	0	0	0	0	0	0
0.14700036252840623	103.101	31.6202	0.847131	0.646388	0	0	0	0	0	0	0	0
0.14800016654560286	103.256	31.4657	0.854912	0.648767	0	0	0	0	0	0	0	0
0.14899997056279948	103.409	31.3128	0.862705	0.651134	0	0	0	0	0	0	0	0
0.14999977457999608	103.56	31.1614	0.870509	0.65349	0	0	0	0	0	0	0	0
0.1509995785971927	103.71	31.0115	0.878325	0.655834	0	0	0	0	0	0	0	0
0.15199938261438933	103.858	30.8631	0.886152	0.658168	0	0	0	0	0	0	0	0
0.15300051263160883	104.005	30.7161	0.89399	0.66049	0	0	0	0	0	0	0	0
0.15400031664880542	104.151	30.5706	0.901839	0.662801	0	0	0	0	0	0	0	0
0.15500012066600208	104.295	30.4264	0.909699	0.665101	0	0	0	0	0	0	0	0
0.15599992468319868	104.438	30.2837	0.91757	0.66739	0	0	0	0	0	0	0	0
0.1569997287003953	104.579	30.1423	0.925451	0.669668	0	0	0	0	0	0	0	0
0.15799953271759196	104.719	30.0023	0.933343	0.671936	0	0	0	0	0	0	0	0
0.1590006627348114	104.858	29.8636	0.941246	0.674194	0	0	0	0	0	0	0	0
0.160000466752008	104.995	29.7262	0.949159	0.67644	0	0	0	0	0	0	0	0
0.16100027076920462	105.132	29.59	0.957082	0.678677	0	0	0	0	0	0	0	0
0.16200007478640127	105.266	29.4552	0.965016	0.680904	0	0	0	0	0	0	0	0
0.1629998788035979	105.4	29.3216	0.97296	0.68312	0	0	0	0	0	0	0	0
0.16399968282079455	105.532	29.1893	0.980913	0.685326	0	0	0	0	0	0	0	0
0.16499948683799118	105.663	29.0581	0.988877	0.687523	0	0	0	0	0	0	0	0
0.1660006168552106	105.793	28.9282	0.99685	0.689709	0	0	0	0	0	0	0	0
0.16700042087240718	105.922	28.7994	1.00483	0.691886	0	0	0	0	0	0	0	0
0.16800022488960387	106.05	28.6718	1.01283	0.694053	0	0	0	0	0	0	0	0
0.1690000289068005	106.176	28.5454	1.02083	0.69621	0	0	0	0	0	0	0	0
0.1699998329239971	106.301	28.4201	1.02884	0.698358	0	0	0	0	0	0	0	0
0.17099963694119374	106.426	28.2959	1.03686	0.700497	0	0	0	0	0	0	0	0
0.17199944095839034	106.549	28.1729	1.04489	0.702626	0	0	0	0	0	0	0	0
0.1730005709756098	106.671	28.0509	1.05293	0.704746	0	0	0	0	0	0	0	0
0.17400037499280643	106.792	27.93	1.06098	0.706857	0	0	0	0	0	0	0	0
0.17500017901000306	106.911	27.8101	1.06904	0.708959	0	0	0	0	0	0	0	0
0.1759999830271997	107.03	27.6913	1.07711	0.711052	0	0	0	0	0	0	0	0
0.1769997870443963	107.148	27.5736	1.08518	0.713136	0	0	0	0	0	0	0	0
0.17799959106159294	107.265	27.4568	1.09327	0.715211	0	0	0	0	0	0	0	0
0.17899939507878962	107.38	27.3411	1.10136	0.717277	0	0	0	0	0	0	0	0
0.180000525096009	107.495	27.2263	1.10946	0.719335	0	0	0	0	0	0	0	0
0.18100032911320565	107.609	27.1126	1.11758	0.721384	0	0	0	0	0	0	0	0
0.18200013313040225	107.722	26.9998	1.1257	0.723424	0	0	0	0	0	0	0	0
0.18299993714759885	107.834	26.8879	1.13382	0.725456	0	0	0	0	0	0	0	0
0.18399974116479553	107.945	26.777	1.14196	0.72748	0	0	0	0	0	0	0	0
0.18499954518199213	108.054	26.6671	1.1501	0.729495	0	0	0	0	0	0	0	0
0.1859993491991888	108.164	26.558	1.15826	0.731502	0	0	0	0	0	0	0	0
0.18700047921640822	108.272	26.4499	1.16642	0.733501	0	0	0	0	0	0	0	0
0.18800028323360488	108.379	26.3426	1.17459	0.735491	0	0	0	0	0	0	0	0
0.18900008725080147	108.485	26.2362	1.18277	0.737474	0	0	0	0	0	0	0	0
0.18999989126799813	108.591	26.1308	1.19095	0.739448	0	0	0	0	0	0	0	0
0.1909996952851948	108.695	26.0261	1.19914	0.741415	0	0	0	0	0	0	0	0
0.1919994993023914	108.799	25.9223	1.20735	0.743374	0	0	0	0	0	0	0	0
0.19300062931961082	108.902	25.8194	1.21555	0.745325	0	0	0	0	0	0	0	0
0.19400043333680742	109.004	25.7173	1.22377	0.747268	0	0	0	0	0	0	0	0
0.19500023735400407	109.106	25.616	1.232	0.749204	0	0	0	0	0	0	0	0
0.19600004137120072	109.206	25.5155	1.24023	0.751132	0	0	0	0	0	0	0	0
0.19699984538839735	109.306	25.4159	1.24847	0.753052	0	0	0	0	0	0	0	0
0.197999649405594	109.405	25.317	1.25671	0.754965	0	0	0	0	0	0	0	0
0.1989994534227906	109.503	25.2189	1.26497	0.756871	0	0	0	0	0	0	0	0
0.20000058344000998	109.6	25.1216	1.27323	0.758769	0	0	0	0	0	0	0	0
0.20100038745720666	109.697	25.025	1.2815	0.76066	0	0	0	0	0	0	0	0
0.20200019147440332	109.792	24.9292	1.28978	0.762544	0	0	0	0	0	0	0	0
0.20299999549159992	109.887	24.8341	1.29806	0.76442	0	0	0	0	0	0	0	0
0.20399979950879651	109.982	24.7398	1.30635	0.76629	0	0	0	0	0	0	0	0
0.2049996035259932	110.075	24.6462	1.31465	0.768152	0	0	0	0	0	0	0	0
0.2059994075431898	110.168	24.5533	1.32295	0.770007	0	0	0	0	0	0	0	0
0.20700053756040926	110.26	24.4612	1.33126	0.771855	0	0	0	0	0	0	0	0
0.20800034157760583	110.352	24.3697	1.33958	0.773696	0	0	0	0	0	0	0	0
0.2090001455948025	110.443	24.2789	1.34791	0.775531	0	0	0	0	0	0	0	0
0.20999994961199914	110.533	24.1888	1.35624	0.777358	0	0	0	0	0	0	0	0
0.2109997536291957	110.622	24.0994	1.36458	0.779179	0	0	0	0	0	0	0	0
0.2119995576463924	110.711	24.0107	1.37293	0.780993	0	0	0	0	0	0	0	0
0.21299936166358904	110.799	23.9226	1.38128	0.782801	0	0	0	0	0	0	0	0
0.21400049168080842	110.886	23.8352	1.38964	0.784602	0	0	0	0	0	0	0	0
0.2150002956980051	110.973	23.7485	1.398	0.786396	0	0	0	0	0	0	0	0
0.2160000997152017	111.059	23.6623	1.40638	0.788184	0	0	0	0	0	0	0	0
0.21699990373239833	111.145	23.5768	1.41475	0.789965	0	0	0	0	0	0	0	0
0.21799970774959504	111.23	23.492	1.42314	0.79174	0	0	0	0	0	0	0	0
0.21899951176679158	111.314	23.4077	1.43153	0.793508	0	0	0	0	0	0	0	0
0.22000064178401102	111.397	23.3241	1.43993	0.79527	0	0	0	0	0	0	0	0
0.22100044580120765	111.48	23.2411	1.44833	0.797026	0	0	0	0	0	0	0	0
0.2220002498184043	111.563	23.1587	1.45674	0.798776	0	0	0	0	0	0	0	0
0.2230000538356009	111.645	23.0768	1.46516	0.800519	0	0	0	0	0	0	0	0
0.22399985785279755	111.726	22.9956	1.47358	0.802256	0	0	0	0	0	0	0	0
0.22499966186999418	111.807	22.915	1.48201	0.803988	0	0	0	0	0	0	0	0
0.22599946588719078	111.887	22.8349	1.49045	0.805713	0	0	0	0	0	0	0	0
0.2270005959044102	111.966	22.7554	1.49889	0.807432	0	0	0	0	0	0	0	0
0.2280003999216069	112.045	22.6764	1.50733	0.809145	0	0	0	0	0	0	0	0
0.2290002039388035	112.124	22.598	1.51579	0.810852	0	0	0	0	0	0	0	0
0.2300000079560001	112.201	22.5202	1.52425	0.812553	0	0	0	0	0	0	0	0
0.23099981197319683	112.279	22.4429	1.53271	0.814249	0	0	0	0	0	0	0	0
0.23199961599039337	112.355	22.3661	1.54118	0.815938	0	0	0	0	0	0	0	0
0.23299942000759002	112.432	22.2899	1.54966	0.817622	0	0	0	0	0	0	0	0
0.2340005500248094	112.507	22.2142	1.55814	0.8193	0	0	0	0	0	0	0	0
0.235000354042006	112.583	22.139	1.56663	0.820973	0	0	0	0	0	0	0	0
0.23600015805920269	112.657	22.0643	1.57512	0.82264	0	0	0	0	0	0	0	0
0.23699996207639934	112.731	21.9902	1.58362	0.824301	0	0	0	0	0	0	0	0
0.23799976609359602	112.805	21.9165	1.59212	0.825956	0	0	0	0	0	0	0	0
0.23899957011079262	112.878	21.8434	1.60063	0.827606	0	0	0	0	0	0	0	0
0.23999937412798927	112.951	21.7707	1.60915	0.829251	0	0	0	0	0	0	0	0
0.24100050414520868	113.023	21.6986	1.61767	0.83089	0	0	0	0	0	0	0	0
0.24200030816240528	113.095	21.6269	1.6262	0.832524	0	0	0	0	0	0	0	0
0.24300011217960193	113.166	21.5557	1.63473	0.834152	0	0	0	0	0	0	0	0
0.24399991619679848	113.237	21.485	1.64326	0.835775	0	0	0	0	0	0	0	0
0.24499972021399516	113.307	21.4148	1.65181	0.837393	0	0	0	0	0	0	0	0
0.2459995242311918	113.377	21.345	1.66035	0.839005	0	0	0	0	0	0	0	0
0.24700065424841128	113.446	21.2757	1.66891	0.840612	0	0	0	0	0	0	0	0
0.24800045826560788	113.515	21.2068	1.67747	0.842214	0	0	0	0	0	0	0	0
0.24900026228280447	113.583	21.1384	1.68603	0.843811	0	0	0	0	0	0	0	0
0.25000006630000116	113.651	21.0705	1.6946	0.845402	0	0	0	0	0	0	0	0
0.2509998703171977	113.719	21.003	1.70317	0.846989	0	0	0	0	0	0	0	0
0.2519996743343944	113.786	20.9359	1.71175	0.84857	0	0	0	0	0	0	0	0
0.25299947835159103	113.852	20.8693	1.72033	0.850147	0	0	0	0	0	0	0	0
0.2540006083688104	113.918	20.8031	1.72892	0.851718	0	0	0	0	0	0	0	0
0.2550004123860071	113.984	20.7373	1.73751	0.853284	0	0	0	0	0	0	0	0
0.2560002164032037	114.05	20.6719	1.74611	0.854846	0	0	0	0	0	0	0	0
0.2570000204204003	114.115	20.607	1.75472	0.856402	0	0	0	0	0	0	0	0
0.25799982443759695	114.179	20.5425	1.76333	0.857954	0	0	0	0	0	0	0	0
0.2589996284547936	114.243	20.4784	1.77194	0.859501	0	0	0	0	0	0	0	0
0.2599994324719902	114.307	20.4147	1.78056	0.861043	0	0	0	0	0	0	0	0
0.2610005624892096	114.37	20.3514	1.78918	0.86258	0	0	0	0	0	0	0	0
0.2620003665064063	114.433	20.2885	1.79781	0.864112	0	0	0	0	0	0	0	0
0.26300017052360286	114.496	20.226	1.80644	0.86564	0	0	0	0	0	0	0	0
0.26399997454079954	114.558	20.1638	1.81508	0.867163	0	0	0	0	0	0	0	0
0.2649997785579962	114.619	20.1021	1.82372	0.868681	0	0	0	0	0	0	0	0
0.2659995825751928	114.681	20.0408	1.83236	0.870195	0	0	0	0	0	0	0	0
0.2669993865923894	114.742	19.9798	1.84102	0.871704	0	0	0	0	0	0	0	0
0.2680005166096089	114.802	19.9192	1.84967	0.873209	0	0	0	0	0	0	0	0
0.26900032062680546	114.863	19.859	1.85833	0.874708	0	0	0	0	0	0	0	0
0.27000012464400214	114.922	19.7992	1.867	0.876204	0	0	0	0	0	0	0	0
0.2709999286611988	114.982	19.7397	1.87566	0.877695	0	0	0	0	0	0	0	0
0.2719997326783954	115.041	19.6806	1.88434	0.879181	0	0	0	0	0	0	0	0
0.272999536695592	115.1	19.6219	1.89302	0.880663	0	0	0	0	0	0	0	0
0.2740006667128115	115.158	19.5635	1.9017	0.882141	0	0	0	0	0	0	0	0
0.2750004707300081	115.216	19.5054	1.91039	0.883614	0	0	0	0	0	0	0	0
0.27600027474720473	115.274	19.4477	1.91908	0.885083	0	0	0	0	0	0	0	0
0.2770000787644013	115.331	19.3904	1.92777	0.886547	0	0	0	0	0	0	0	0
0.27799988278159793	115.388	19.3334	1.93647	0.888007	0	0	0	0	0	0	0	0
0.2789996867987946	115.445	19.2768	1.94518	0.889463	0	0	0	0	0	0	0	0
0.2799994908159912	115.501	19.2204	1.95388	0.890915	0	0	0	0	0	0	0	0
0.2810006208332107	115.557	19.1645	1.9626	0.892362	0	0	0	0	0	0	0	0
0.2820004248504073	115.613	19.1088	1.97131	0.893806	0	0	0	0	0	0	0	0
0.28300022886760395	115.668	19.0535	1.98003	0.895245	0	0	0	0	0	0	0	0
0.2840000328848005	115.723	18.9985	1.98876	0.896679	0	0	0	0	0	0	0	0
0.2849998369019972	115.778	18.9438	1.99749	0.89811	0	0	0	0	0	0	0	0
0.2859996409191938	115.832	18.8895	2.00622	0.899537	0	0	0	0	0	0	0	0
0.2869994449363904	115.886	18.8354	2.01496	0.900959	0	0	0	0	0	0	0	0
0.28800057495360987	115.94	18.7817	2.0237	0.902378	0	0	0	0	0	0	0	0
0.2890003789708065	115.993	18.7283	2.03245	0.903792	0	0	0	0	0	0	0	0
0.2900001829880031	116.046	18.6752	2.0412	0.905202	0	0	0	0	0	0	0	0
0.2909999870051997	116.099	18.6224	2.04995	0.906609	0	0	0	0	0	0	0	0
0.29199979102239637	116.152	18.5699	2.05871	0.908011	0	0	0	0	0	0	0	0
0.292999595039593	116.204	18.5178	2.06747	0.90941	0	0	0	0	0	0	0	0
0.29399939905678973	116.256	18.4659	2.07623	0.910804	0	0	0	0	0	0	0	0
0.2950005290740091	116.307	18.4143	2.085	0.912195	0	0	0	0	0	0	0	0
0.2960003330912057	116.359	18.363	2.09378	0.913582	0	0	0	0	0	0	0	0
0.29700013710840234	116.41	18.312	2.10255	0.914965	0	0	0	0	0	0	0	0
0.297999941125599	116.46	18.2613	2.11134	0.916344	0	0	0	0	0	0	0	0
0.2989997451427956	116.511	18.2109	2.12012	0.917719	0	0	0	0	0	0	0	0
0.29999954915999216	116.561	18.1607	2.12891	0.91909	0	0	0	0	0	0	0	0
0.30099935317718884	116.611	18.1109	2.1377	0.920458	0	0	0	0	0	0	0	0
0.3020004831944083	116.66	18.0613	2.1465	0.921822	0	0	0	0	0	0	0	0
0.3030002872116049	116.71	18.012	2.1553	0.923182	0	0	0	0	0	0	0	0
0.30400009122880156	116.759	17.9629	2.1641	0.924539	0	0	0	0	0	0	0	0
0.30499989524599824	116.807	17.9142	2.17291	0.925892	0	0	0	0	0	0	0	0
0.3059996992631948	116.856	17.8657	2.18172	0.927241	0	0	0	0	0	0	0	0
0.30699950328039144	116.904	17.8175	2.19053	0.928586	0	0	0	0	0	0	0	0
0.3080006332976109	116.952	17.7695	2.19935	0.929928	0	0	0	0	0	0	0	0
0.3090004373148075	117.0	17.7218	2.20817	0.931267	0	0	0	0	0	0	0	0
0.3100002413320041	117.047	17.6744	2.217	0.932601	0	0	0	0	0	0	0	0
0.31100004534920084	117.094	17.6272	2.22583	0.933932	0	0	0	0	0	0	0	0
0.31199984936639735	117.141	17.5803	2.23466	0.93526	0	0	0	0	0	0	0	0
