t[Ts]	C_l(t)	C_h(t)	N_l(t)	N_h(t)	E_l(t)	E_h(t)	A_LL(t)	A_HL(t)	A_HH(t)	A_L(t)	A_H(t)	A(t)
6000004.243200073	78.7616	55.96	0.2349	0.3747	0	0	0	0	0	0	0	0
6099997.904919963	79.2661	55.4554	0.240859	0.378901	0	0	0	0	0	0	0	0
6200004.826640083	79.7612	54.9604	0.246855	0.383064	0	0	0	0	0	0	0	0
6299998.488359975	80.247	54.4746	0.252889	0.387191	0	0	0	0	0	0	0	0
6400005.410080094	80.7238	53.9978	0.258959	0.391281	0	0	0	0	0	0	0	0
6499999.071799985	81.1919	53.5297	0.265064	0.395336	0	0	0	0	0	0	0	0
6600005.993520102	81.6515	53.07	0.271205	0.399355	0	0	0	0	0	0	0	0
6699999.655239994	82.1029	52.6186	0.27738	0.40334	0	0	0	0	0	0	0	0
6800006.576960113	82.5463	52.1753	0.283588	0.407292	0	0	0	0	0	0	0	0
6900000.238680004	82.9819	51.7397	0.28983	0.41121	0	0	0	0	0	0	0	0
6999993.900399895	83.4099	51.3117	0.296104	0.415096	0	0	0	0	0	0	0	0
7100000.822120015	83.8305	50.8911	0.30241	0.41895	0	0	0	0	0	0	0	0
7199994.483839906	84.2439	50.4776	0.308748	0.422772	0	0	0	0	0	0	0	0
7300001.405560025	84.6504	50.0712	0.315117	0.426563	0	0	0	0	0	0	0	0
7399995.067279916	85.05	49.6715	0.321516	0.430324	0	0	0	0	0	0	0	0
7500001.989000034	85.443	49.2785	0.327944	0.434055	0	0	0	0	0	0	0	0
7599995.650719926	85.8295	48.892	0.334403	0.437757	0	0	0	0	0	0	0	0
7700002.572440044	86.2098	48.5118	0.34089	0.44143	0	0	0	0	0	0	0	0
7799996.234159935	86.5838	48.1377	0.347406	0.445074	0	0	0	0	0	0	0	0
7900003.155880054	86.9519	47.7696	0.353949	0.448691	0	0	0	0	0	0	0	0
7999996.817599946	87.3142	47.4074	0.36052	0.452279	0	0	0	0	0	0	0	0
8100003.739320064	87.6707	47.0509	0.367119	0.455841	0	0	0	0	0	0	0	0
