t[Ts]	C_l(t)	C_h(t)	N_l(t)	N_h(t)	E_l(t)	E_h(t)	A_LL(t)	A_HL(t)	A_HH(t)	A_L(t)	A_H(t)	A(t)
6.499999071799984e-10	81.1919	53.5297	0.265064	0.395336	0	0	0	0	0	0	0	0
6.600005993520103e-10	81.6515	53.07	0.271205	0.399355	0	0	0	0	0	0	0	0
6.699999655239994e-10	82.1029	52.6186	0.27738	0.40334	0	0	0	0	0	0	0	0
6.800006576960113e-10	82.5463	52.1753	0.283588	0.407292	0	0	0	0	0	0	0	0
6.900000238680004e-10	82.9819	51.7397	0.28983	0.41121	0	0	0	0	0	0	0	0
6.999993900399895e-10	83.4099	51.3117	0.296104	0.415096	0	0	0	0	0	0	0	0
7.100000822120014e-10	83.8305	50.8911	0.30241	0.41895	0	0	0	0	0	0	0	0
7.199994483839905e-10	84.2439	50.4776	0.308748	0.422772	0	0	0	0	0	0	0	0
7.300001405560024e-10	84.6504	50.0712	0.315117	0.426563	0	0	0	0	0	0	0	0
7.399995067279916e-10	85.05	49.6715	0.321516	0.430324	0	0	0	0	0	0	0	0
7.500001989000034e-10	85.443	49.2785	0.327944	0.434055	0	0	0	0	0	0	0	0
7.599995650719926e-10	85.8295	48.892	0.334403	0.437757	0	0	0	0	0	0	0	0
7.700002572440044e-10	86.2098	48.5118	0.34089	0.44143	0	0	0	0	0	0	0	0
7.799996234159935e-10	86.5838	48.1377	0.347406	0.445074	0	0	0	0	0	0	0	0
7.900003155880055e-10	86.9519	47.7696	0.353949	0.448691	0	0	0	0	0	0	0	0
7.999996817599945e-10	87.3142	47.4074	0.36052	0.452279	0	0	0	0	0	0	0	0
8.100003739320063e-10	87.6707	47.0509	0.367119	0.455841	0	0	0	0	0	0	0	0
8.199997401039956e-10	88.0217	46.6999	0.373743	0.459376	0	0	0	0	0	0	0	0
8.300004322760074e-10	88.3672	46.3544	0.380395	0.462885	0	0	0	0	0	0	0	0
8.399997984479965e-10	88.7074	46.0141	0.387072	0.466368	0	0	0	0	0	0	0	0
8.500004906200084e-10	89.0425	45.6791	0.393774	0.469825	0	0	0	0	0	0	0	0
8.599998567919975e-10	89.3725	45.3491	0.400502	0.473258	0	0	0	0	0	0	0	0
8.700005489640095e-10	89.6975	45.024	0.407254	0.476666	0	0	0	0	0	0	0	0
8.799999151359985e-10	90.0178	44.7038	0.414031	0.480049	0	0	0	0	0	0	0	0
8.900006073080104e-10	90.3333	44.3883	0.420831	0.483408	0	0	0	0	0	0	0	0
8.999999734799996e-10	90.6442	44.0774	0.427656	0.486744	0	0	0	0	0	0	0	0
9.100006656520114e-10	90.9506	43.771	0.434503	0.490057	0	0	0	0	0	0	0	0
9.200000318240005e-10	91.2526	43.469	0.441374	0.493346	0	0	0	0	0	0	0	0
9.299993979959896e-10	91.5502	43.1713	0.448267	0.496613	0	0	0	0	0	0	0	0
9.400000901680015e-10	91.8437	42.8779	0.455182	0.499858	0	0	0	0	0	0	0	0
9.499994563399906e-10	92.133	42.5885	0.462119	0.503081	0	0	0	0	0	0	0	0
9.600001485120026e-10	92.4183	42.3032	0.469078	0.506282	0	0	0	0	0	0	0	0
9.699995146839915e-10	92.6997	42.0219	0.476059	0.509461	0	0	0	0	0	0	0	0
9.800002068560036e-10	92.9772	41.7444	0.48306	0.51262	0	0	0	0	0	0	0	0
9.899995730279927e-10	93.2509	41.4707	0.490082	0.515758	0	0	0	0	0	0	0	0
1.0000002652000045e-09	93.5209	41.2007	0.497125	0.518875	0	0	0	0	0	0	0	0
1.0099996313719936e-09	93.7873	40.9343	0.504188	0.521972	0	0	0	0	0	0	0	0
1.0200003235440055e-09	94.0501	40.6715	0.511271	0.525049	0	0	0	0	0	0	0	0
1.0299996897159946e-09	94.3094	40.4121	0.518373	0.528106	0	0	0	0	0	0	0	0
1.0400003818880066e-09	94.5653	40.1562	0.525495	0.531144	0	0	0	0	0	0	0	0
1.0499997480599957e-09	94.8179	39.9036	0.532636	0.534163	0	0	0	0	0	0	0	0
1.0600004402320076e-09	95.0672	39.6543	0.539796	0.537163	0	0	0	0	0	0	0	0
1.0699998064039965e-09	95.3133	39.4082	0.546975	0.540144	0	0	0	0	0	0	0	0
1.0800004985760087e-09	95.5563	39.1653	0.554172	0.543107	0	0	0	0	0	0	0	0
1.0899998647479976e-09	95.7961	38.9254	0.561388	0.546052	0	0	0	0	0	0	0	0
1.1000005569200097e-09	96.033	38.6886	0.568621	0.548978	0	0	0	0	0	0	0	0
1.1099999230919986e-09	96.2669	38.4547	0.575872	0.551887	0	0	0	0	0	0	0	0
1.1200006152640104e-09	96.4978	38.2237	0.583141	0.554779	0	0	0	0	0	0	0	0
1.1299999814359998e-09	96.7259	37.9956	0.590427	0.557653	0	0	0	0	0	0	0	0
1.1400006736080116e-09	96.9513	37.7703	0.59773	0.56051	0	0	0	0	0	0	0	0
1.1500000397800007e-09	97.1738	37.5477	0.60505	0.56335	0	0	0	0	0	0	0	0
1.1599994059519898e-09	97.3937	37.3279	0.612387	0.566173	0	0	0	0	0	0	0	0
1.1700000981240016e-09	97.6109	37.1107	0.61974	0.56898	0	0	0	0	0	0	0	0
1.1799994642959908e-09	97.8255	36.896	0.627109	0.57177	0	0	0	0	0	0	0	0
1.1900001564680028e-09	98.0376	36.684	0.634495	0.574545	0	0	0	0	0	0	0	0
1.199999522639992e-09	98.2472	36.4744	0.641896	0.577303	0	0	0	0	0	0	0	0
1.2100002148120038e-09	98.4543	36.2673	0.649313	0.580046	0	0	0	0	0	0	0	0
1.2199995809839927e-09	98.659	36.0626	0.656746	0.582774	0	0	0	0	0	0	0	0
1.2300002731560047e-09	98.8613	35.8603	0.664194	0.585486	0	0	0	0	0	0	0	0
1.2399996393279938e-09	99.0613	35.6603	0.671657	0.588183	0	0	0	0	0	0	0	0
1.2500003315000059e-09	99.259	35.4626	0.679135	0.590864	0	0	0	0	0	0	0	0
1.2599996976719948e-09	99.4544	35.2671	0.686628	0.593531	0	0	0	0	0	0	0	0
1.2700003898440066e-09	99.6477	35.0739	0.694136	0.596184	0	0	0	0	0	0	0	0
1.2799997560159957e-09	99.8387	34.8828	0.701658	0.598822	0	0	0	0	0	0	0	0
1.2900004481880075e-09	100.028	34.6939	0.709194	0.601445	0	0	0	0	0	0	0	0
1.2999998143599969e-09	100.215	34.507	0.716745	0.604055	0	0	0	0	0	0	0	0
1.3100005065320087e-09	100.399	34.3223	0.72431	0.60665	0	0	0	0	0	0	0	0
1.3199998727039978e-09	100.582	34.1395	0.731888	0.609231	0	0	0	0	0	0	0	0
1.3300045428760782e-09	100.763	33.9588	0.73948	0.611799	0	0	0	0	0	0	0	0
1.3400025830480444e-09	100.942	33.78	0.747086	0.614353	0	0	0	0	0	0	0	0
1.3500006232200108e-09	101.118	33.6031	0.754705	0.616894	0	0	0	0	0	0	0	0
1.359998663391977e-09	101.293	33.4281	0.762338	0.619422	0	0	0	0	0	0	0	0
1.3699967035639435e-09	101.467	33.255	0.769983	0.621936	0	0	0	0	0	0	0	0
1.3799947437359097e-09	101.638	33.0837	0.777642	0.624438	0	0	0	0	0	0	0	0
1.390006043908104e-09	101.807	32.9143	0.785313	0.626926	0	0	0	0	0	0	0	0
1.4000040840800703e-09	101.975	32.7466	0.792997	0.629402	0	0	0	0	0	0	0	0
1.4100021242520366e-09	102.141	32.5807	0.800694	0.631865	0	0	0	0	0	0	0	0
1.4200001644240028e-09	102.305	32.4164	0.808403	0.634316	0	0	0	0	0	0	0	0
1.4299982045959692e-09	102.468	32.2539	0.816125	0.636755	0	0	0	0	0	0	0	0
1.4399962447679354e-09	102.629	32.093	0.823858	0.639181	0	0	0	0	0	0	0	0
1.4499942849399016e-09	102.788	31.9338	0.831604	0.641596	0	0	0	0	0	0	0	0
1.460005585112096e-09	102.945	31.7762	0.839362	0.643998	0	0	0	0	0	0	0	0
1.4700036252840623e-09	103.101	31.6202	0.847131	0.646388	0	0	0	0	0	0	0	0
1.4800016654560287e-09	103.256	31.4657	0.854912	0.648767	0	0	0	0	0	0	0	0
1.489999705627995e-09	103.409	31.3128	0.862705	0.651134	0	0	0	0	0	0	0	0
1.4999977457999612e-09	103.56	31.1614	0.870509	0.65349	0	0	0	0	0	0	0	0
1.5099957859719274e-09	103.71	31.0115	0.878325	0.655834	0	0	0	0	0	0	0	0
1.5199938261438936e-09	103.858	30.8631	0.886152	0.658168	0	0	0	0	0	0	0	0
1.5300051263160883e-09	104.005	30.7161	0.89399	0.66049	0	0	0	0	0	0	0	0
1.5400031664880545e-09	104.151	30.5706	0.901839	0.662801	0	0	0	0	0	0	0	0
1.5500012066600207e-09	104.295	30.4264	0.909699	0.665101	0	0	0	0	0	0	0	0
1.559999246831987e-09	104.438	30.2837	0.91757	0.66739	0	0	0	0	0	0	0	0
1.5699972870039531e-09	104.579	30.1423	0.925451	0.669668	0	0	0	0	0	0	0	0
1.5799953271759198e-09	104.719	30.0023	0.933343	0.671936	0	0	0	0	0	0	0	0
1.590006627348114e-09	104.858	29.8636	0.941246	0.674194	0	0	0	0	0	0	0	0
1.6000046675200802e-09	104.995	29.7262	0.949159	0.67644	0	0	0	0	0	0	0	0
1.6100027076920465e-09	105.132	29.59	0.957082	0.678677	0	0	0	0	0	0	0	0
1.6200007478640127e-09	105.266	29.4552	0.965016	0.680904	0	0	0	0	0	0	0	0
1.6299987880359793e-09	105.4	29.3216	0.97296	0.68312	0	0	0	0	0	0	0	0
1.6399968282079455e-09	105.532	29.1893	0.980913	0.685326	0	0	0	0	0	0	0	0
1.6499948683799118e-09	105.663	29.0581	0.988877	0.687523	0	0	0	0	0	0	0	0
1.660006168552106e-09	105.793	28.9282	0.99685	0.689709	0	0	0	0	0	0	0	0
1.6700042087240722e-09	105.922	28.7994	1.00483	0.691886	0	0	0	0	0	0	0	0
1.6800022488960388e-09	106.05	28.6718	1.01283	0.694053	0	0	0	0	0	0	0	0
1.690000289068005e-09	106.176	28.5454	1.02083	0.69621	0	0	0	0	0	0	0	0
1.6999983292399713e-09	106.301	28.4201	1.02884	0.698358	0	0	0	0	0	0	0	0
1.7099963694119375e-09	106.426	28.2959	1.03686	0.700497	0	0	0	0	0	0	0	0
1.7199944095839037e-09	106.549	28.1729	1.04489	0.702626	0	0	0	0	0	0	0	0
1.7300057097560984e-09	106.671	28.0509	1.05293	0.704746	0	0	0	0	0	0	0	0
1.7400037499280646e-09	106.792	27.93	1.06098	0.706857	0	0	0	0	0	0	0	0
1.7500017901000308e-09	106.911	27.8101	1.06904	0.708959	0	0	0	0	0	0	0	0
1.759999830271997e-09	107.03	27.6913	1.07711	0.711052	0	0	0	0	0	0	0	0
1.7699978704439633e-09	107.148	27.5736	1.08518	0.713136	0	0	0	0	0	0	0	0
1.7799959106159297e-09	107.265	27.4568	1.09327	0.715211	0	0	0	0	0	0	0	0
1.789993950787896e-09	107.38	27.3411	1.10136	0.717277	0	0	0	0	0	0	0	0
1.8000052509600903e-09	107.495	27.2263	1.10946	0.719335	0	0	0	0	0	0	0	0
1.8100032911320566e-09	107.609	27.1126	1.11758	0.721384	0	0	0	0	0	0	0	0
1.8200013313040228e-09	107.722	26.9998	1.1257	0.723424	0	0	0	0	0	0	0	0
1.8299993714759892e-09	107.834	26.8879	1.13382	0.725456	0	0	0	0	0	0	0	0
1.8399974116479554e-09	107.945	26.777	1.14196	0.72748	0	0	0	0	0	0	0	0
1.8499954518199217e-09	108.054	26.6671	1.1501	0.729495	0	0	0	0	0	0	0	0
1.859993491991888e-09	108.164	26.558	1.15826	0.731502	0	0	0	0	0	0	0	0
1.8700047921640823e-09	108.272	26.4499	1.16642	0.733501	0	0	0	0	0	0	0	0
1.8800028323360487e-09	108.379	26.3426	1.17459	0.735491	0	0	0	0	0	0	0	0
1.8900008725080148e-09	108.485	26.2362	1.18277	0.737474	0	0	0	0	0	0	0	0
1.899998912679981e-09	108.591	26.1308	1.19095	0.739448	0	0	0	0	0	0	0	0
1.9099969528519476e-09	108.695	26.0261	1.19914	0.741415	0	0	0	0	0	0	0	0
1.919994993023914e-09	108.799	25.9223	1.20735	0.743374	0	0	0	0	0	0	0	0
1.9300062931961083e-09	108.902	25.8194	1.21555	0.745325	0	0	0	0	0	0	0	0
1.9400043333680743e-09	109.004	25.7173	1.22377	0.747268	0	0	0	0	0	0	0	0
1.9500023735400407e-09	109.106	25.616	1.232	0.749204	0	0	0	0	0	0	0	0
1.960000413712007e-09	109.206	25.5155	1.24023	0.751132	0	0	0	0	0	0	0	0
1.9699984538839736e-09	109.306	25.4159	1.24847	0.753052	0	0	0	0	0	0	0	0
1.9799964940559396e-09	109.405	25.317	1.25671	0.754965	0	0	0	0	0	0	0	0
1.989994534227906e-09	109.503	25.2189	1.26497	0.756871	0	0	0	0	0	0	0	0
2.0000058344001002e-09	109.6	25.1216	1.27323	0.758769	0	0	0	0	0	0	0	0
2.0100038745720667e-09	109.697	25.025	1.2815	0.76066	0	0	0	0	0	0	0	0
2.020001914744033e-09	109.792	24.9292	1.28978	0.762544	0	0	0	0	0	0	0	0
2.029999954915999e-09	109.887	24.8341	1.29806	0.76442	0	0	0	0	0	0	0	0
2.0399979950879655e-09	109.982	24.7398	1.30635	0.76629	0	0	0	0	0	0	0	0
2.049996035259932e-09	110.075	24.6462	1.31465	0.768152	0	0	0	0	0	0	0	0
2.059994075431898e-09	110.168	24.5533	1.32295	0.770007	0	0	0	0	0	0	0	0
2.0700053756040926e-09	110.26	24.4612	1.33126	0.771855	0	0	0	0	0	0	0	0
2.0800034157760586e-09	110.352	24.3697	1.33958	0.773696	0	0	0	0	0	0	0	0
2.090001455948025e-09	110.443	24.2789	1.34791	0.775531	0	0	0	0	0	0	0	0
2.0999994961199915e-09	110.533	24.1888	1.35624	0.777358	0	0	0	0	0	0	0	0
2.1099975362919575e-09	110.622	24.0994	1.36458	0.779179	0	0	0	0	0	0	0	0
2.119995576463924e-09	110.711	24.0107	1.37293	0.780993	0	0	0	0	0	0	0	0
2.12999361663589e-09	110.799	23.9226	1.38128	0.782801	0	0	0	0	0	0	0	0
2.140004916808084e-09	110.886	23.8352	1.38964	0.784602	0	0	0	0	0	0	0	0
2.150002956980051e-09	110.973	23.7485	1.398	0.786396	0	0	0	0	0	0	0	0
2.1600009971520175e-09	111.059	23.6623	1.40638	0.788184	0	0	0	0	0	0	0	0
2.1699990373239835e-09	111.145	23.5768	1.41475	0.789965	0	0	0	0	0	0	0	0
2.17999707749595e-09	111.23	23.492	1.42314	0.79174	0	0	0	0	0	0	0	0
2.189995117667916e-09	111.314	23.4077	1.43153	0.793508	0	0	0	0	0	0	0	0
