dmk	C_S	C_E	CE/CS	CS_eff
-0.0	412.0	15.322817607158171	1.1046710138224634	13.870932988580048
-0.1	412.9409385177698	23.501893285379328	1.690466044915069	13.902611860245965
-0.2	413.3337209228832	31.632456240969628	2.2731265819637123	13.915835788450872
-0.3	413.3698849803108	38.07898986132657	2.736138817928013	13.917053335094497
-0.4	413.69827385549286	43.760878762241845	3.1419109227456934	13.928109306166938
-0.5	413.24720700997193	49.043314683445615	3.5250187426394968	13.912923097459192
-1.0	413.4458137214712	68.87203597539052	4.947842482530385	13.919609651794845
-1.5	413.8345071941622	79.96406812303155	5.739310511153618	13.932695916631726
-2.0	413.77960363814685	90.33397410246202	6.484456480671264	13.930847461422204
-2.5	414.8173321106689	99.29374618485768	7.109786256217194	13.965784990797674
-3.0	414.8065643049397	107.1213658880537	7.67047084581404	13.965422467711015
-3.5	414.8682394171445	113.00165695529186	8.090328679448575	13.967498903022802
-4.0	415.5741226529996	117.40507775881932	8.39131310525642	13.99126409492161
-4.5	415.096590447441	122.99878006254936	8.80122614592386	13.975186868651724
-5.0	415.67651663074	125.9614440690544	9.000646047176776	13.994711425027608
-10.0	417.3722463082565	146.27506071576383	10.409701176429076	14.051802086978038
-20.0	420.6553734173111	138.25213055171932	9.761957987460711	14.162336155236988
-30.0	422.925514262124	112.86387954392085	7.926521296815456	14.238765697792905
-40.0	424.7726814361745	86.61391049971412	6.056512406891375	14.300954853351058
-50.0	426.7584344146369	65.73865846624876	4.5754126263636365	14.367809820574664
-50.0	426.7584344146369	65.73865846624876	4.5754126263636365	14.367809820574664
-60.0	428.0984514542424	49.78425898387776	3.454139974156819	14.412924593778362
-70.0	430.447983631876	38.61657166275848	2.664677038275661	14.49202702919212
-80.0	432.16802496742247	30.584389733889616	2.1020291302216587	14.549936199344916
-100.0	436.0202341763669	21.57182283273	1.4695072849479438	14.679629732828555
