Mass	Radius	phi	RhoND	Temp	Rho	Pres	Lumi	H1	He4	He3	C12	C13	N14	N15	O16	O17	O18	Ne	Na	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Co	Ni
0.5450347	0.2735	3.152155098316784	11.59412924920006	7274000.0	16.33	1.61e+16	0.99446	0.7198100000000001	0.26204	0.003337	0.002635	3.235e-05	0.0007796	1.912e-06	0.00645	2.606e-06	1.562e-05	0.001418	3.544e-05	0.0006818	6.012e-05	0.0007524	6.901000000000001e-06	0.000375	4.984e-06	7.548e-05	3.8910000000000005e-06	6.469e-05	4.1760000000000005e-08	3.221e-06	3.846e-07	1.879e-05	1.373e-05	0.001303	3.617e-06	7.701e-05
0.5463260999999999	0.27399999999999997	3.1485142695704305	11.530230190263868	7263000.0	16.24	1.599e+16	0.99456	0.71987	0.26198	0.00334	0.002635	3.234e-05	0.0007795	1.912e-06	0.00645	2.606e-06	1.562e-05	0.001418	3.544e-05	0.0006818	6.012e-05	0.0007524	6.901000000000001e-06	0.0003749	4.984e-06	7.548e-05	3.8910000000000005e-06	6.469e-05	4.1760000000000005e-08	3.221e-06	3.846e-07	1.879e-05	1.373e-05	0.001303	3.617e-06	7.7e-05
0.5476175	0.2745	3.1448781193581903	11.466331131327678	7251000.0	16.15	1.588e+16	0.99465	0.7199300000000001	0.26192	0.003343	0.002635	3.232e-05	0.0007795	1.912e-06	0.00645	2.606e-06	1.562e-05	0.001418	3.544e-05	0.0006817	6.012e-05	0.0007523	6.901000000000001e-06	0.0003749	4.984e-06	7.548e-05	3.8910000000000005e-06	6.469e-05	4.175e-08	3.221e-06	3.846e-07	1.879e-05	1.373e-05	0.001303	3.616e-06	7.7e-05
0.5489089	0.275	3.1412466377698367	11.402432072391486	7240000.0	16.06	1.577e+16	0.99475	0.71999	0.26185	0.003346	0.002635	3.231e-05	0.0007795	1.912e-06	0.006449	2.606e-06	1.562e-05	0.001418	3.544e-05	0.0006817	6.011e-05	0.0007523	6.901000000000001e-06	0.0003749	4.984e-06	7.548e-05	3.8910000000000005e-06	6.469e-05	4.175e-08	3.221e-06	3.846e-07	1.879e-05	1.373e-05	0.001303	3.616e-06	7.7e-05
0.5502003000000001	0.2755	3.137619814910431	11.338533013455296	7228000.0	15.97	1.566e+16	0.99484	0.72004	0.26179	0.0033490000000000004	0.002634	3.229e-05	0.0007794	1.912e-06	0.006449	2.606e-06	1.562e-05	0.001418	3.544e-05	0.0006817	6.011e-05	0.0007523	6.901000000000001e-06	0.0003749	4.984e-06	7.547e-05	3.8910000000000005e-06	6.468e-05	4.175e-08	3.221e-06	3.846e-07	1.879e-05	1.373e-05	0.001303	3.616e-06	7.7e-05
0.5514916999999999	0.276	3.1339976409004886	11.274633954519105	7217000.0	15.88	1.555e+16	0.99494	0.7201	0.26173	0.0033520000000000004	0.002634	3.227e-05	0.0007794	1.913e-06	0.006449	2.606e-06	1.562e-05	0.001418	3.543e-05	0.0006817	6.011e-05	0.0007523	6.900000000000001e-06	0.0003749	4.983e-06	7.547e-05	3.8910000000000005e-06	6.468e-05	4.175e-08	3.22e-06	3.846e-07	1.879e-05	1.373e-05	0.001303	3.616e-06	7.7e-05
0.5527831999999999	0.2765	3.130380105549144	11.217834791020268	7205000.0	15.8	1.544e+16	0.99503	0.72016	0.26167	0.003355	0.002634	3.226e-05	0.0007792999999999999	1.913e-06	0.006449	2.605e-06	1.562e-05	0.001418	3.543e-05	0.0006817	6.011e-05	0.0007522000000000001	6.900000000000001e-06	0.0003749	4.983e-06	7.547e-05	3.8910000000000005e-06	6.468e-05	4.175e-08	3.22e-06	3.845e-07	1.879e-05	1.373e-05	0.001303	3.616e-06	7.699e-05
0.5540746	0.27699999999999997	3.126767199009496	11.153935732084078	7194000.0	15.71	1.533e+16	0.99513	0.72022	0.26161	0.003358	0.002634	3.224e-05	0.0007792999999999999	1.913e-06	0.006448000000000001	2.605e-06	1.561e-05	0.001417	3.543e-05	0.0006816	6.011e-05	0.0007522000000000001	6.900000000000001e-06	0.0003749	4.983e-06	7.547e-05	3.8910000000000005e-06	6.468e-05	4.175e-08	3.22e-06	3.845e-07	1.879e-05	1.373e-05	0.001303	3.616e-06	7.699e-05
0.555366	0.2775	3.1231589117775784	11.09713656858524	7183000.0	15.63	1.522e+16	0.99522	0.72028	0.26155	0.003361	0.002634	3.223e-05	0.0007792999999999999	1.913e-06	0.006448000000000001	2.605e-06	1.561e-05	0.001417	3.543e-05	0.0006816	6.011e-05	0.0007522000000000001	6.900000000000001e-06	0.0003749	4.983e-06	7.547e-05	3.89e-06	6.468e-05	4.175e-08	3.22e-06	3.845e-07	1.879e-05	1.373e-05	0.001303	3.616e-06	7.699e-05
0.5566444	0.278	3.1195552760900203	11.033237509649048	7171000.0	15.54	1.511e+16	0.9953	0.72034	0.26149	0.003358	0.002634	3.222e-05	0.0007792000000000001	1.913e-06	0.006447	2.605e-06	1.561e-05	0.001417	3.543e-05	0.0006816	6.01e-05	0.0007522000000000001	6.900000000000001e-06	0.0003748	4.983e-06	7.546e-05	3.89e-06	6.467e-05	4.175e-08	3.22e-06	3.845e-07	1.878e-05	1.373e-05	0.001303	3.616e-06	7.699e-05
0.5579177	0.2785	3.11595634033638	10.969338450712856	7160000.0	15.45	1.501e+16	0.99538	0.7204	0.26144	0.0033520000000000004	0.002634	3.2200000000000003e-05	0.0007792000000000001	1.913e-06	0.006447	2.605e-06	1.561e-05	0.001417	3.543e-05	0.0006815	6.01e-05	0.0007521	6.899e-06	0.0003748	4.983e-06	7.546e-05	3.89e-06	6.467e-05	4.174e-08	3.22e-06	3.845e-07	1.878e-05	1.373e-05	0.001303	3.615e-06	7.698e-05
0.5591909	0.27899999999999997	3.112362110774058	10.912539287214019	7149000.0	15.37	1.49e+16	0.99546	0.72046	0.26139	0.003346	0.002633	3.219e-05	0.0007791	1.913e-06	0.006447	2.605e-06	1.561e-05	0.001417	3.543e-05	0.0006815	6.01e-05	0.0007521	6.899e-06	0.0003748	4.982e-06	7.545e-05	3.89e-06	6.467e-05	4.174e-08	3.22e-06	3.845e-07	1.878e-05	1.373e-05	0.001302	3.615e-06	7.698e-05
0.5604640999999999	0.2795	3.1087725771243377	10.848640228277828	7138000.0	15.28	1.48e+16	0.99554	0.72051	0.26134	0.00334	0.002633	3.218e-05	0.000779	1.913e-06	0.006446	2.604e-06	1.561e-05	0.001417	3.542e-05	0.0006815	6.009e-05	0.000752	6.898e-06	0.0003748	4.982e-06	7.545e-05	3.89e-06	6.466e-05	4.174e-08	3.219e-06	3.844e-07	1.878e-05	1.373e-05	0.001302	3.615e-06	7.697e-05
0.5617373999999999	0.28	3.1051877284895264	10.79184106477899	7126000.0	15.2	1.469e+16	0.99562	0.7205699999999999	0.26129	0.003334	0.002633	3.217e-05	0.000779	1.913e-06	0.006446	2.604e-06	1.561e-05	0.001417	3.542e-05	0.0006814	6.009e-05	0.000752	6.898e-06	0.0003748	4.982e-06	7.545e-05	3.889e-06	6.466e-05	4.174e-08	3.219e-06	3.844e-07	1.878e-05	1.373e-05	0.001302	3.615e-06	7.697e-05
0.5630106	0.2805	3.1016075543154025	10.735041901280153	7115000.0	15.12	1.459e+16	0.99569	0.72063	0.26124	0.003328	0.002633	3.216e-05	0.0007789	1.913e-06	0.006445	2.604e-06	1.561e-05	0.001417	3.542e-05	0.0006814	6.009e-05	0.000752	6.898e-06	0.0003747	4.981e-06	7.544e-05	3.889e-06	6.466e-05	4.173e-08	3.219e-06	3.844e-07	1.878e-05	1.373e-05	0.001302	3.615e-06	7.696e-05
